22	24	22
22	25	9
22	26	170
22	27	49
22	28	21
22	29	30
22	30	7
22	31	28
22	32	4
22	33	34
22	34	10
22	35	4
22	36	12
22	37	29
22	38	15
22	39	298
22	40	31
22	41	202
22	42	61
22	43	9
22	44	7
22	45	11
22	46	105
22	47	130
22	48	6
22	49	181
22	50	15
22	51	21
22	52	45
22	53	4
22	54	5
22	55	5
22	56	25
22	57	33
22	58	38
22	59	30
22	60	28
22	61	8
22	62	35
22	63	173
22	64	17
22	65	60
22	66	81
22	67	51
22	68	19
22	69	7
22	70	35
22	71	14
22	73	20
23	24	40
23	25	7
23	26	112
23	27	32
23	28	14
23	29	20
23	30	4
23	31	7
23	32	4
23	33	22
23	34	7
23	35	5
23	36	12
23	37	27
23	38	22
23	39	223
23	40	23
23	41	269
23	42	23
23	43	30
23	44	7
23	45	12
23	46	103
23	47	86
23	48	17
23	49	150
23	50	1
23	51	10
23	52	17
23	53	4
23	54	7
23	55	6
23	56	20
23	57	32
23	58	21
23	59	13
23	60	19
23	61	22
23	62	58
23	63	144
23	64	10
23	65	68
23	66	79
23	67	21
23	68	13
23	69	13
23	70	13
23	71	21
23	72	13
23	73	8
24	25	8
24	26	45
24	27	11
24	28	2
24	29	5
24	30	3
24	31	18
24	32	6
24	33	7
24	35	4
24	36	5
24	37	13
24	38	6
24	39	94
24	40	13
24	41	138
24	42	13
24	43	8
24	44	4
24	45	6
24	46	72
24	47	34
24	48	6
24	49	48
24	50	15
24	51	3
24	52	5
24	53	2
24	54	7
24	55	1
24	56	2
24	57	16
24	58	3
24	59	7
24	60	2
24	61	16
24	62	10
24	63	53
24	64	8
24	65	25
24	66	36
24	67	8
24	68	2
24	69	4
24	70	4
24	71	9
24	72	7
24	73	8
25	26	2
25	29	1
25	30	2
25	33	1
25	37	2
25	38	1
25	39	21
25	40	2
25	41	25
25	42	2
25	44	1
25	45	1
25	46	16
25	47	7
25	48	1
25	49	9
25	50	1
25	52	2
25	54	1
25	55	1
25	56	1
25	57	2
25	59	4
25	61	3
25	62	2
25	63	6
25	65	3
25	66	7
25	67	2
25	72	2
25	73	1
26	27	42
26	28	15
26	29	52
26	30	14
26	31	36
26	32	6
26	33	44
26	35	1
26	36	27
26	37	53
26	38	18
26	39	444
26	40	41
26	41	421
26	42	88
26	43	3
26	44	22
26	45	8
26	46	86
26	47	189
26	48	24
26	49	191
26	51	14
26	52	21
26	53	15
26	54	8
26	55	12
26	56	9
26	57	61
26	58	5
26	59	31
26	60	21
26	61	17
26	62	23
26	63	181
26	64	58
26	65	90
26	66	143
26	67	30
26	68	10
26	69	2
26	70	16
26	71	24
26	72	12
26	73	26
27	28	30
27	29	5
27	30	3
27	32	2
27	33	27
27	34	6
27	36	9
27	37	22
27	38	11
27	39	123
27	41	81
27	42	19
27	45	5
27	46	39
27	47	39
27	48	8
27	49	38
27	50	2
27	51	4
27	52	12
27	53	1
27	54	2
27	56	6
27	57	2
27	58	5
27	60	1
27	61	3
27	62	8
27	63	45
27	65	33
27	66	24
27	67	13
27	68	21
27	70	6
27	71	6
27	73	4
28	29	2
28	33	8
28	36	2
28	37	1
28	38	6
28	39	84
28	40	2
28	41	14
28	42	1
